invoice_line,category
Fuel price increase fee,Fuel
Ground transportation charge for order 9688,Freight
Carrier fuel surcharge for shipment 1503,Fuel
Fuel cost surcharge,Fuel
Truck haul fee for regional distribution,Freight
Special packaging fee,Accessorial
Shipment to warehouse 1648,Freight
Truck haul fee for regional distribution,Freight
Overnight delivery fee,Freight
Sales tax for shipment 4367,Duty and Tax
Warehouse storage fee for pallet 3888,Accessorial
Value-added tax (VAT) fee,Duty and Tax
Fuel cost surcharge,Fuel
Accessorial charge for delivery 7391,Accessorial
Customs clearance cost for shipment 4192,Duty and Tax
Government tax charge,Duty and Tax
Warehouse storage fee for pallet 9869,Accessorial
Cargo handling cost,Freight
Gasoline cost pass-through,Fuel
Liftgate service fee for delivery 2085,Accessorial
Shipment to warehouse 9346,Freight
Gasoline cost pass-through,Fuel
Shipment staging cost,Accessorial
Freight charge for bulk order 1008,Freight
Sales tax for shipment 1644,Duty and Tax
Fuel adjustment for invoice 6845,Fuel
Truck haul fee for regional distribution,Freight
Inside delivery handling,Accessorial
Diesel cost adjustment,Fuel
Sorting and segregation fee,Accessorial
Customs clearance cost for shipment 7528,Duty and Tax
Import duty on machinery,Duty and Tax
Carrier fuel surcharge for shipment 5270,Fuel
Ground transportation charge for order 9065,Freight
Monthly fuel cost update,Fuel
Freight charge for bulk order 7119,Freight
Diesel cost adjustment,Fuel
Shipment staging cost,Accessorial
Tariff charges for imported textiles,Duty and Tax
Shipment to warehouse 1629,Freight
Shipment staging cost,Accessorial
Truck haul fee for regional distribution,Freight
Government tax charge,Duty and Tax
Sorting and segregation fee,Accessorial
Extra handling charge for fragile goods,Accessorial
Diesel cost adjustment,Fuel
Inbound shipment handling,Freight
Customs clearance cost for shipment 2453,Duty and Tax
Government tax charge,Duty and Tax
Sales tax for shipment 1381,Duty and Tax
Shipment staging cost,Accessorial
Fuel adjustment for invoice 6169,Fuel
Accessorial charge for delivery 7873,Accessorial
Fuel surcharge for July delivery,Fuel
Tariff charges for imported textiles,Duty and Tax
Border tax for shipment 3593,Duty and Tax
Overnight delivery fee,Freight
Import customs duty on electronics,Duty and Tax
Transportation fee for order 8663,Freight
Overnight delivery fee,Freight
Ground transportation charge for order 7826,Freight
Import duty on machinery,Duty and Tax
Fuel price variance charge,Fuel
Transportation fee for order 6990,Freight
Diesel cost adjustment,Fuel
Additional handling charge,Accessorial
Freight charge for bulk order 2799,Freight
Customs clearance cost for shipment 6216,Duty and Tax
Fuel price increase fee,Fuel
Fuel surcharge for July delivery,Fuel
Extra handling charge for fragile goods,Accessorial
Inside delivery handling,Accessorial
Accessorial charge for delivery 2664,Accessorial
Inbound shipment handling,Freight
Border tax for shipment 8280,Duty and Tax
Value-added tax (VAT) fee,Duty and Tax
Shipment staging cost,Accessorial
Value-added tax (VAT) fee,Duty and Tax
Fuel price variance charge,Fuel
Fuel adjustment for invoice 8888,Fuel
Fuel surcharge on regional transport,Fuel
Customs clearance cost for shipment 9562,Duty and Tax
Carrier fuel surcharge for shipment 9149,Fuel
Accessorial charge for delivery 3650,Accessorial
Additional handling charge,Accessorial
